StichtagDatJahr,HalterId,AlterV10Cd,AlterV10Lang,AlterV10Sort,SexCd,SexLang,SexSort,KreisCd,KreisLang,KreisSort,QuarCd,QuarLang,QuarSort,Rasse1Text,Rasse2Text,RasseMischlingCd,RasseMischlingLang,RasseMischlingSort,RassentypCd,RassentypLang,RassentypSort,GebDatHundJahr,AlterVHundCd,AlterVHundLang,AlterVHundSort,SexHundCd,SexHundLang,SexHundSort,HundefarbeText,AnzHunde
2021,65732,50,50- bis 59-Jährige,6,1,männlich,1,7,Kreis 7,7,72,Hottingen,72,Holländischer Schäfer,,1,Rassehund,1,I,Rassentypenliste I,2,2009,11,11-Jährige,11,1,männlich,1,gestromt,1
2021,65758,50,50- bis 59-Jährige,6,2,weiblich,2,7,Kreis 7,7,71,Fluntern,71,Yorkshire Terrier,,1,Rassehund,1,K,Kleinwüchsig,1,2007,13,13-Jährige,13,1,männlich,1,black/tan,1
2021,65794,50,50- bis 59-Jährige,6,1,männlich,1,7,Kreis 7,7,72,Hottingen,72,Lagotto Romagnolo,,1,Rassehund,1,I,Rassentypenliste I,2,2017,3,3-Jährige,3,1,männlich,1,braun/weiss,1
2021,65940,50,50- bis 59-Jährige,6,2,weiblich,2,8,Kreis 8,8,81,Seefeld,81,Berner Sennenhund,,1,Rassehund,1,I,Rassentypenliste I,2,2019,1,1-Jährige,1,2,weiblich,2,tricolor,1
2021,65975,60,60- bis 69-Jährige,7,2,weiblich,2,7,Kreis 7,7,74,Witikon,74,Cocker Spaniel,,1,Rassehund,1,K,Kleinwüchsig,1,2018,2,2-Jährige,2,1,männlich,1,hellbraun/weiss,1
2021,65975,60,60- bis 69-Jährige,7,2,weiblich,2,7,Kreis 7,7,74,Witikon,74,Labrador Retriever,,1,Rassehund,1,I,Rassentypenliste I,2,2006,14,14-Jährige,14,1,männlich,1,schwarz,1
2021,65975,60,60- bis 69-Jährige,7,2,weiblich,2,7,Kreis 7,7,74,Witikon,74,Labrador Retriever,,1,Rassehund,1,I,Rassentypenliste I,2,2010,10,10-Jährige,10,2,weiblich,2,braun,1
2021,65981,50,50- bis 59-Jährige,6,2,weiblich,2,6,Kreis 6,6,63,Oberstrass,63,Labrador Retriever,,1,Rassehund,1,I,Rassentypenliste I,2,2013,7,7-Jährige,7,1,männlich,1,gelb,1
2021,65981,50,50- bis 59-Jährige,6,2,weiblich,2,6,Kreis 6,6,63,Oberstrass,63,Labrador Retriever,,1,Rassehund,1,I,Rassentypenliste I,2,2017,3,3-Jährige,3,1,männlich,1,gelb,1
2021,66151,60,60- bis 69-Jährige,7,1,männlich,1,11,Kreis 11,11,115,Oerlikon,115,Deutscher Schäfer,,1,Rassehund,1,I,Rassentypenliste I,2,2008,12,12-Jährige,12,2,weiblich,2,schwarz/braun/weiss,1
